Change component parameters: Designator = "L1" ("L1"); Footprint = "L1515 - COILCRAFT"; UniqueID = "\GWZNTPKR\FSJKUGJR" ("\GWZNTPKR\FSJKUGJR")
Change component parameters (AddParameter): Name = "ComponentLink14Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-168245478.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink14URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-168245478.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink15Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-140707427.pdf?src-supplier=Taiyo+Yuden+SCT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink15URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-140707427.pdf?src-supplier=Taiyo+Yuden+SCT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink16Description"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-178522552.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink16URL"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-178522552.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink17Description"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-10791166.pdf?src-supplier=Coilcraft+Direct"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink17URL"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-10791166.pdf?src-supplier=Coilcraft+Direct"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
