Change component parameters: Designator = "L1" ("L1"); Footprint = "L1515 - COILCRAFT"; UniqueID = "\GWZNTPKR\FSJKUGJR" ("\GWZNTPKR\FSJKUGJR")
Add component (AddParameter): Name = "Max Saturation Current"; Value = "450mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Temperature Rise Current"; Value = "600mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Width"; Value = "10.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Length"; Value = "3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Width"; Value = "2.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminals"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing"; Value = "1=1,59, 10=1,31, 50=1,14, 100=1,08, 1000=0,885, 10000=0,775 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = "30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = "1.85A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Saturation Current"; Value = "2.1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Schedule B"; Value = "8504500000, 8504500000|8504500000|8504500000|8504500000|8504500000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "60MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock"; Value = "942"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "871-B82464P4333M"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "652-SRN4018-330M"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Rise Current"; Value = "650mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "33µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "50.008559mg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "10.4mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=LX Pin=L1-1
Added Pin To Net: NetName=+3.3V Pin=L1-2
